Project,Baseline_PosF1,Proposed_PosF1,Delta_PosF1,Baseline_AUC,Proposed_AUC,Delta_AUC,Baseline_F1,Proposed_F1,Delta_F1,PosF1_Winner
pytorch,0.3942121097037676,0.5221802939652496,0.127968184261482,0.8448100822685104,0.8755469980745668,0.03073691580605642,0.5684724404843265,0.7145585949122373,0.14608615442791073,Proposed
tensorflow,0.4488662543151266,0.6796820206709929,0.23081576635586631,0.8624316760680397,0.9227371113734752,0.06030543530543553,0.5406517231361375,0.7937280973008317,0.2530763741646942,Proposed
keras,0.4685014960090565,0.6805553635242912,0.21205386751523475,0.851153455284553,0.9081504065040648,0.05699695121951176,0.5507776259387446,0.7958233161898088,0.24504569025106426,Proposed
incubator-mxnet,0.3685664017363011,0.583710987693293,0.21514458595699187,0.8631851851851853,0.9061604938271606,0.042975308641975296,0.5299659935324961,0.7601122223957897,0.2301462288632936,Proposed
caffe,0.2992040919146831,0.3694972290513413,0.07029313713665819,0.7443201754385965,0.7886403508771931,0.044320175438596565,0.4680012822537868,0.6449340341054202,0.17693275185163337,Proposed
